Título	Tiempo de Lectura (min)	Nombre Completo Autor	Apellido Autor	Primer Nombre Autor	País	Género	URL Wikipedia	Categorías	Autores relacionados	Año de nacimiento	Año de muerte
Epitafio para la foto del baile:	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Flechazo místico de Colt	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Fumando espero al hombre que yo quiero	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Gormaz a sangre y fuego	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
He metido las manos en el fuego...	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Hermosas ninfas que en el río metidas...	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Inutilidad del poeta didáctico	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Los deseos de Pilar	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Madrigal	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Morir soñando...	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
